day,transactions
2026-01-01,469099
2026-01-02,458965
2026-01-03,501272
2026-01-04,474589
2026-01-05,409625
2026-01-06,424895
2026-01-07,425191
2026-01-08,334415
2026-01-09,355655
2026-01-10,488786
2026-01-11,290317
2026-01-12,411249
2026-01-13,336329
2026-01-14,324327
2026-01-15,374223
2026-01-16,361943
2026-01-17,357391
2026-01-18,332526
2026-01-19,354595
2026-01-20,383148
2026-01-21,428195
2026-01-22,464040
2026-01-23,436563
2026-01-24,289144
2026-01-25,314920
2026-01-26,402432
2026-01-27,362327
2026-01-28,336095
2026-01-29,428725
2026-01-30,380796
2026-01-31,405402
2026-02-01,352779
2026-02-02,357323
2026-02-03,435461
2026-02-04,411218
2026-02-05,384550
2026-02-06,410157
2026-02-07,494507
2026-02-08,507211
2026-02-09,402013
2026-02-10,385928
2026-02-11,455182
2026-02-12,484938
2026-02-13,529750
2026-02-14,537394
2026-02-15,701969
2026-02-16,526061
2026-02-17,659135
2026-02-18,507143
2026-02-19,512501
2026-02-20,413542
2026-02-21,350751
2026-02-22,529495
2026-02-23,453671
2026-02-24,566873
2026-02-25,485381
2026-02-26,425509
2026-02-27,415510
2026-02-28,424909
2026-03-01,462687
2026-03-02,422366
2026-03-03,381186
2026-03-04,377812
2026-03-05,464513
2026-03-06,442642
2026-03-07,437720
2026-03-08,453532
2026-03-09,415576
2026-03-10,381301
2026-03-11,401926
2026-03-12,449282
2026-03-13,399857
2026-03-14,439447
2026-03-15,407207
2026-03-16,405364
2026-03-17,372893
2026-03-18,441086
2026-03-19,442571
2026-03-20,423312
2026-03-21,488238
2026-03-22,629923
2026-03-23,540923
2026-03-24,382745
2026-03-25,514820
2026-03-26,629007
2026-03-27,664609
2026-03-28,763304
2026-03-29,634952
2026-03-30,532760
2026-03-31,523751
2026-04-01,683419
2026-04-02,508404
2026-04-03,459037
2026-04-04,433372
2026-04-05,725796
2026-04-06,465261
2026-04-07,538981
2026-04-08,558574
2026-04-09,586158
2026-04-10,448495
2026-04-11,465807
2026-04-12,707229
2026-04-13,641052
2026-04-14,610515
2026-04-15,465753
2026-04-16,630320
2026-04-17,552747
2026-04-18,695157
2026-04-19,727793
2026-04-20,547526
2026-04-21,537497
2026-04-22,542847
2026-04-23,450825
2026-04-24,589597
2026-04-25,581159
2026-04-26,712904
2026-04-27,580030
2026-04-28,566274
2026-04-29,383942
2026-04-30,409874
2026-05-01,593987
2026-05-02,526246
2026-05-03,604132
2026-05-04,567996
2026-05-05,585611
2026-05-06,526789
2026-05-07,531108
2026-05-08,581936
2026-05-09,831620
2026-05-10,733259
2026-05-11,772122
2026-05-12,587513
2026-05-13,620400
2026-05-14,684549
2026-05-15,618617
2026-05-16,679928
2026-05-17,605313
2026-05-18,600874
2026-05-19,618114
2026-05-20,676439
2026-05-21,538509
2026-05-22,708628
2026-05-23,732845
2026-05-24,628352
2026-05-25,781994
2026-05-26,627380
2026-05-27,645768
2026-05-28,779340
2026-05-29,648318
2026-05-30,651123
2026-05-31,717451
