week,method,full_nodes,full_edges,weak_components,lcc_nodes,lcc_edges,clusters,noise,silhouette,davies_bouldin,calinski_harabasz,modularity
jan_week,Louvain,590667,475219,138481,150256,172581,214,0,-0.14635209739208221,4.142835111198408,91.3691422683878,0.9153508171660598
jan_week,Node2Vec + HDBSCAN,590667,475219,138481,150256,172581,558,69539,0.7006340622901917,0.7951594252308652,2026.9952963018934,
feb_week,Louvain,652933,482358,188566,134463,151580,171,0,-0.09143923968076706,4.558248624802846,116.99458541771851,0.9243631070749325
feb_week,Node2Vec + HDBSCAN,652933,482358,188566,134463,151580,480,63258,0.6762575507164001,0.7437091425328018,2062.433139557949,
mar_week,Louvain,615625,473701,166875,145340,169325,190,0,-0.1639591008424759,4.186972283703557,104.90028158239244,0.9069426947815596
mar_week,Node2Vec + HDBSCAN,615625,473701,166875,145340,169325,483,70788,0.6709787845611572,0.9023689350532594,2065.9482966488335,
apr_week,Louvain,707816,480076,246182,126346,144488,193,0,-0.15404467284679413,4.14322909625416,90.6057761669145,0.9205009598916083
apr_week,Node2Vec + HDBSCAN,707816,480076,246182,126346,144488,453,62217,0.697439432144165,0.7433326004627652,1789.82286581218,
may_week,Louvain,723018,480459,259171,118002,134344,186,0,-0.12842467427253723,3.875945068019746,90.70821733245626,0.9204301996550068
may_week,Node2Vec + HDBSCAN,723018,480459,259171,118002,134344,397,58473,0.6808131337165833,0.6710372291489711,1931.5554496682478,
