,count
3,92325
5,9505
60,3160
8,2881
20,2627
-1,2096
51,1579
9,1395
64,1188
74,938
10,801
73,720
54,675
62,642
27,627
72,541
11,492
52,468
55,435
86,410
13,391
85,385
63,366
1,360
88,351
99,346
14,299
2,290
57,286
34,271
71,246
94,244
17,235
28,220
77,203
70,187
38,178
58,168
43,147
96,146
87,143
40,141
32,135
44,134
29,132
19,130
18,127
84,126
90,124
69,122
23,119
0,118
93,117
41,117
47,117
81,113
75,111
15,110
79,110
95,108
92,108
82,107
83,106
50,103
56,102
24,99
68,99
6,95
39,94
4,94
16,89
67,88
78,85
89,85
26,85
97,81
33,79
36,77
53,76
22,76
48,74
66,73
12,72
91,72
45,72
21,70
98,68
61,65
42,63
30,61
76,60
31,58
37,58
80,58
7,56
65,56
46,56
49,55
25,55
59,54
35,51
100,50
