,count
8,92325
28,9863
-1,4356
3,3160
63,2971
14,2565
22,1560
23,1465
34,1139
35,910
24,854
53,843
36,712
37,669
7,633
80,577
25,521
38,424
26,411
19,327
78,310
11,308
39,282
33,261
79,258
29,244
45,240
59,229
9,208
72,207
65,180
81,171
41,168
60,167
43,166
74,144
30,141
58,140
52,140
2,134
20,131
84,129
51,125
17,125
64,117
66,116
10,111
44,110
15,108
87,107
82,104
42,102
77,102
67,98
68,93
61,91
57,87
47,86
75,86
12,86
49,84
18,84
6,81
62,80
85,80
32,77
5,76
31,75
76,74
69,71
86,69
54,67
50,66
13,64
16,63
21,63
88,63
73,61
46,61
55,59
83,58
4,58
1,58
40,56
27,55
56,53
48,53
0,53
70,52
71,52
