,count
0,5102
31,3698
48,3332
56,3295
52,3196
30,3062
29,3016
38,2413
37,2401
75,2310
14,2268
51,2263
3,2215
89,2215
26,2173
35,2100
70,2006
55,1929
34,1847
7,1796
27,1722
42,1653
122,1608
81,1587
117,1540
93,1534
47,1520
73,1476
33,1386
57,1383
15,1340
11,1331
39,1312
50,1264
121,1257
116,1161
90,1158
21,1146
83,1139
78,1125
9,1120
8,1109
99,1102
69,1102
44,1078
12,1027
40,993
32,985
86,971
65,966
53,942
91,917
22,912
58,909
5,903
28,900
60,899
64,886
114,821
125,814
129,726
85,715
18,681
67,674
82,659
84,647
131,628
128,613
105,599
106,585
126,575
6,574
63,552
96,545
140,533
112,524
23,521
118,514
10,509
97,509
1,506
80,500
100,496
46,495
41,491
77,490
109,482
16,468
113,461
43,455
88,455
110,441
74,438
155,428
17,416
130,416
146,414
62,413
127,406
120,402
49,400
71,395
92,395
20,392
94,376
137,373
76,367
36,359
142,352
2,350
151,344
79,341
87,341
45,340
156,337
59,336
24,327
136,326
148,313
103,311
61,310
115,309
133,306
143,305
141,302
132,300
123,291
101,274
119,257
135,250
150,241
66,240
104,238
102,230
25,226
13,225
111,215
145,190
161,176
4,160
147,151
162,121
164,110
160,100
98,94
165,94
124,86
139,80
95,77
108,68
154,67
144,62
149,62
159,55
163,49
134,45
19,44
72,44
152,34
157,33
107,32
158,29
153,28
167,28
68,28
166,26
138,25
170,24
169,23
168,18
54,15
