,count
-1,63258
478,6294
460,1739
476,1734
419,971
373,913
455,878
438,800
452,637
472,620
458,570
195,555
303,513
426,457
24,449
20,446
479,442
359,428
79,427
100,399
272,380
290,367
386,354
56,351
291,342
294,339
113,331
369,324
23,294
327,291
445,290
433,289
466,286
441,278
178,273
96,268
444,252
324,251
340,251
323,250
262,245
414,226
33,223
335,221
385,218
12,218
68,217
469,217
278,216
318,211
104,209
84,206
36,206
428,202
463,202
413,200
149,198
107,195
392,193
446,193
99,193
198,192
87,191
144,191
276,191
82,187
360,185
203,184
354,182
320,181
425,179
326,178
41,178
175,177
389,176
223,173
122,171
434,171
353,165
382,165
436,164
69,164
333,162
388,161
381,161
329,161
465,161
239,161
367,161
296,160
356,159
292,159
314,159
306,158
179,158
350,157
200,157
206,156
403,155
282,155
312,154
307,153
7,153
416,152
286,151
243,151
211,150
204,150
399,150
114,149
417,149
285,149
80,148
162,148
207,147
142,147
17,147
380,146
237,146
59,146
395,145
83,145
471,145
103,144
375,144
415,144
256,142
89,142
311,142
62,141
422,141
332,141
421,141
95,140
263,140
391,140
110,140
473,140
241,140
48,139
227,139
126,139
423,139
372,139
308,138
138,138
376,138
409,138
93,137
45,136
344,136
235,136
297,135
225,135
124,135
424,135
219,134
115,134
412,133
345,133
212,133
97,132
406,132
435,131
264,131
315,131
155,130
160,130
221,130
351,129
300,128
371,128
355,127
322,127
280,127
370,127
298,126
432,125
231,125
429,125
447,125
134,125
448,124
383,124
459,123
366,123
313,122
269,122
339,122
304,121
390,120
408,120
254,119
226,119
266,119
401,118
117,118
319,118
442,118
185,117
361,117
374,117
347,117
407,116
468,115
281,115
265,115
330,115
431,114
139,114
365,113
377,113
410,113
474,113
183,111
236,111
402,111
378,111
255,110
287,110
461,110
154,110
279,109
470,109
34,108
186,108
242,108
293,107
49,107
289,107
316,107
305,107
141,107
321,106
404,106
427,106
437,105
348,105
357,104
244,104
257,104
337,103
477,103
192,103
336,103
98,103
453,102
259,102
140,102
449,102
368,101
136,101
277,101
94,101
127,100
31,100
398,100
393,100
177,100
130,100
420,99
81,99
302,99
247,99
157,98
85,98
216,96
217,96
358,94
168,94
464,93
271,93
454,93
190,92
299,91
405,91
387,91
46,90
135,89
63,89
128,89
209,89
253,89
101,88
249,88
158,88
400,88
331,85
343,85
384,85
119,84
258,84
397,83
439,83
180,83
394,83
267,83
210,82
317,82
467,82
111,82
228,82
13,81
92,81
105,81
189,81
245,80
164,79
172,79
451,79
418,79
167,79
133,79
165,77
201,77
15,77
151,77
199,76
50,75
440,75
132,75
9,75
349,75
125,75
182,74
116,73
205,73
16,73
229,73
112,73
457,73
32,72
328,72
91,71
73,71
215,70
246,70
176,70
1,70
342,70
5,70
102,69
232,69
248,69
163,69
120,69
10,68
6,68
67,68
214,68
338,68
108,68
274,68
284,67
61,67
39,67
250,67
88,66
2,66
161,65
156,65
233,65
234,65
275,65
260,64
65,64
25,64
224,64
222,64
443,64
159,64
8,63
19,63
171,63
196,63
462,63
295,63
268,63
456,63
208,63
78,62
109,62
77,62
252,62
27,62
52,62
74,61
40,61
152,61
218,61
450,61
181,61
35,61
364,61
18,61
174,61
145,61
148,61
213,60
273,60
288,60
341,60
396,60
64,60
4,60
11,60
86,59
220,59
143,59
3,59
430,59
72,59
29,58
0,58
411,57
76,57
230,57
283,57
53,57
191,57
30,57
362,57
150,57
71,57
129,56
60,56
173,56
26,56
121,56
14,55
54,55
58,55
153,55
166,55
309,55
57,55
238,55
22,55
475,54
66,54
261,54
187,54
202,54
44,54
193,54
310,54
38,54
137,54
325,54
301,54
118,54
379,53
75,53
169,53
70,53
47,53
55,53
90,53
194,52
37,52
240,52
197,51
147,51
28,51
42,51
346,51
188,50
146,50
270,50
363,50
170,50
51,50
334,50
184,50
131,50
106,50
251,50
21,50
123,50
352,50
43,50
