,count
34,6560
23,5618
2,5330
35,4902
7,4356
55,4065
6,3635
31,3355
18,3215
51,2988
3,2721
58,2687
73,2562
121,2503
22,2287
30,2168
57,2134
36,2019
211,1923
110,1866
182,1776
21,1766
113,1763
144,1637
63,1569
92,1512
147,1484
1,1358
42,1313
75,1273
28,1171
81,1138
181,1105
62,1090
76,1041
105,1022
93,1017
13,997
135,895
95,892
44,856
203,853
103,832
45,808
64,804
29,803
19,797
74,780
137,777
9,764
46,723
145,721
91,715
122,714
133,711
88,708
166,702
156,697
140,693
78,668
33,664
52,662
109,635
150,631
104,629
196,625
192,616
114,614
101,607
61,598
69,581
127,574
70,567
49,559
14,552
59,548
116,543
168,542
193,540
134,527
86,525
123,518
148,507
205,504
16,500
209,499
83,498
132,498
154,497
139,490
161,486
68,478
146,473
47,466
175,462
174,444
54,441
157,441
84,440
151,437
39,433
4,430
40,430
26,425
207,425
87,423
178,423
12,418
67,413
180,411
80,408
119,407
185,405
176,400
141,377
106,363
85,362
98,360
48,345
130,342
212,342
50,336
128,326
24,321
90,315
198,315
115,312
162,309
107,307
102,304
5,303
32,303
120,301
66,300
111,298
210,290
126,289
72,287
125,285
202,281
199,272
197,270
179,262
96,251
124,249
171,248
195,247
136,223
152,221
71,220
155,216
169,211
200,206
17,201
165,200
167,199
186,197
138,195
43,188
190,166
191,164
173,114
27,112
94,106
159,97
53,90
89,79
177,75
201,74
41,72
170,63
163,62
194,61
20,58
142,58
188,57
153,54
25,51
8,46
183,45
160,44
213,43
11,40
206,39
77,39
97,36
10,36
82,36
172,36
158,33
204,33
37,31
143,30
60,30
189,30
117,28
15,27
184,24
112,23
187,23
100,21
129,21
65,19
118,19
79,17
99,17
108,17
149,16
38,16
0,16
208,15
56,15
164,14
131,11
