,count
-1,69539
556,7553
554,1276
422,955
530,758
442,686
557,534
540,523
128,505
452,472
386,422
468,409
447,396
84,394
384,393
280,392
527,375
478,344
403,337
101,334
510,329
400,320
446,317
423,304
547,296
474,287
512,279
381,273
184,257
90,253
133,253
546,250
192,249
544,247
402,238
200,238
522,236
376,231
439,229
208,228
285,227
387,227
550,224
514,222
44,219
320,218
506,214
448,213
520,212
361,209
107,208
131,204
230,203
477,201
43,198
134,198
526,197
223,195
358,195
218,195
322,194
246,193
524,192
290,189
263,189
261,189
142,189
334,189
537,189
288,188
216,188
484,187
345,187
301,185
145,185
164,185
272,184
476,183
340,183
239,182
244,182
178,182
516,182
346,181
535,181
238,181
236,180
473,180
479,180
222,178
215,178
277,177
205,177
457,177
431,177
231,176
251,176
202,175
342,175
187,174
503,174
445,173
508,173
299,172
382,172
220,172
397,172
274,172
158,171
167,171
130,170
170,170
247,170
486,170
115,170
233,170
427,170
201,170
456,170
316,169
250,169
298,168
160,168
374,168
180,167
87,167
112,167
300,166
355,166
179,165
302,165
434,165
507,165
460,165
296,165
135,165
332,165
318,164
327,164
405,164
406,163
312,163
310,163
313,163
40,162
425,161
391,161
177,160
438,160
349,159
548,159
279,159
375,159
541,159
453,158
165,157
505,157
253,157
207,157
504,157
519,156
123,156
294,156
21,154
141,153
228,153
525,153
471,153
536,153
461,153
368,153
553,153
329,153
226,153
328,152
379,152
490,151
401,151
441,151
415,150
237,150
500,150
360,150
262,150
314,149
190,148
311,148
305,147
343,145
227,145
111,145
440,143
407,143
408,142
432,142
157,141
339,141
419,140
462,140
276,139
341,139
482,139
235,139
470,139
414,138
242,137
450,137
396,137
212,137
390,137
232,137
377,137
92,137
151,136
511,136
480,136
47,135
529,134
204,134
127,134
489,133
183,133
96,132
472,132
483,131
469,131
437,130
281,129
454,129
260,129
488,127
370,127
356,127
538,127
518,125
363,124
412,124
417,123
517,123
153,123
266,123
430,123
509,122
552,122
543,122
129,121
464,120
481,120
146,120
71,120
199,119
372,119
367,119
451,118
20,118
435,118
148,118
122,118
196,118
150,117
455,117
169,117
393,116
444,116
395,115
493,114
309,114
383,113
485,112
521,112
38,112
58,111
487,110
98,110
315,108
534,108
323,107
287,107
380,107
317,107
194,107
399,106
549,106
275,106
420,105
491,105
413,105
147,105
121,104
304,104
466,104
515,104
273,104
436,104
144,103
119,103
528,103
191,102
498,101
168,101
1,101
4,100
282,100
70,100
176,100
104,100
77,100
5,99
52,99
36,99
27,99
555,99
18,99
9,99
53,99
48,99
12,99
26,99
51,99
28,99
185,99
22,99
2,99
3,98
23,98
16,98
35,98
50,98
68,98
8,98
17,98
25,98
11,98
354,97
7,97
24,97
13,97
91,96
344,96
449,96
398,95
136,95
409,95
267,94
252,94
49,94
443,94
389,93
404,93
254,93
324,92
351,92
89,91
330,91
496,91
243,91
126,91
335,90
331,90
321,90
172,89
306,89
206,89
73,89
494,89
292,89
307,89
388,88
124,88
333,87
245,87
539,87
78,87
83,87
182,87
533,85
366,85
394,84
156,84
32,84
213,83
109,83
249,82
181,82
193,82
155,82
264,81
501,81
137,81
214,81
492,80
258,80
37,80
411,80
162,80
161,79
283,79
85,79
234,78
410,77
523,77
166,77
308,77
325,77
149,77
19,77
497,76
42,76
365,76
60,76
15,76
30,76
348,75
385,75
209,75
95,75
364,74
203,74
268,74
240,74
259,74
0,74
74,73
362,73
221,73
106,73
138,72
291,72
41,72
55,72
195,71
373,71
319,71
270,71
72,71
265,71
97,71
495,70
75,70
189,69
378,69
532,69
284,69
392,69
113,69
502,68
255,68
120,68
257,67
211,67
278,67
352,67
418,67
224,66
225,66
57,66
459,66
103,65
186,65
6,64
86,64
229,63
174,63
295,63
426,63
152,63
56,63
171,63
80,62
125,62
31,62
62,62
336,62
154,62
475,62
463,61
428,61
99,61
513,61
67,60
61,60
81,60
69,60
197,60
531,60
359,59
65,59
421,59
118,59
79,59
350,58
241,58
217,58
100,58
102,58
429,58
54,57
110,57
94,57
39,57
29,57
289,57
34,57
286,56
433,56
357,56
10,56
458,56
271,56
139,56
542,55
545,55
347,55
303,54
326,54
371,54
219,54
297,54
424,53
93,53
256,53
46,53
117,53
88,53
108,53
173,53
76,53
416,52
551,52
465,52
63,52
59,52
116,52
143,52
175,52
293,52
499,52
82,51
14,51
188,51
64,51
132,51
369,51
337,51
210,51
114,51
105,51
248,51
163,50
45,50
467,50
338,50
66,50
353,50
269,50
159,50
140,50
33,50
198,50
