node,node2vec_cluster
0b85205755f46db901d0ca27295036eae505599b8d0f3c81c19d6b0b98451298,345
6c60e4fe67dab7bd9f5ae7221ec15c817d7e6ae0cc7e7f5d95a90de997233e14,-1
8af383eaaf2f8947cbb3db2802540c760c7b778918545fab6ba146f3caaa6ec6,377
4b54a1a7f27b5640e2360d9e93713d1e9a99cf7d9a2f8924836d71014e7e8047,381
9dea3d6bc34441789835ebd0b3569902f61a115949fa4d45a725a57ef9bd7cae,-1
92705d49b8728db0b19c45d68c0d046ca077f6796d37d70db8b8bbd615b7f28b,-1
4820d02e34cdc7c9d4a337c3f4f6bdb09e0188ee7bb3d98161eb1ee37f3c5fdc,-1
7c68698522325ce6dc5675ac5db1c22c9111e4a390343da86f2154d70a822bbd,403
45fc82fc6b8453916f4c1fe78e32ce494a86b63bb4bb13ef64d4d9bf3539570e,155
31d8c5fe3fc6a9f63ab63a92afc86b339ab93dcdd13ff099d66d8ee2cce26895,-1
2c5bbcba7faace1f9ab737cff3cbcfc239735c7fe8751488dccc0533a6e7aa30,376
02518494cdcaa03933147edfcba83ce3653912967e945341476c6208167c8c2b,177
1ca1b789e9dc7fbd77abfd48896830ef77bbbc8ed26f220724ea279f4ca9040d,-1
ac62176540f96289797993ea8724632a77ec3444ead505e6641f2f993ba4f2f7,179
aca0c27de3248cbcc8d84d7f4ef9a2cd40512985da16ccf1b0e4156936676950,-1
69ad10c1ae02b89d32dc01413b911fa64ed582dd24fc47ab08f8b748149c0045,163
76f03f16689c0db733db6e0a33a07c81866b20b417ec61e83ff5acda5624d45e,19
44fa9fc1285c19a93b29bcb8a85a6096d456bb002389c04f20bb9f076f175f47,556
d975c90ba3fbc692abf4d1d861b2ab19a0c0e35b2c8fb9e8c05173bb41b2b286,529
f3c8c1ccba0aa1ac6825795dcab1c4d69180283796ca5cece00860f1f65a8b23,22
685a23bfef85e04ad1df080790c7c05c586dbcf6232edd6786538f8e1d17ee09,381
04c2459fb3576599306d6a96658ce57040f1a4e2040aa5ea6deb327386cd2f7a,77
a20efa53f0d50b18a83189155c187b1f066b8ffcf1982568a7b32041e0e07cc1,-1
359974f2716353e9a1ce9b0f4c40267a575f35e4a1e959cbea65303deec1411e,-1
0bef331705fc427f3ec0cc34bfecad558bd0859c11ada670249cc91280ea8d76,-1
7a80c7b841b030bcd92cd3614248df97690f9129a23f7d35d1abf4d9a37fa5c9,259
30dd2c2a74eabc425340e77d60e53e4afcfd3064bcc913ffa343281f0220a39d,-1
fb4a754db029ce1df8296c4e3edf4481fee88782b3ac267ec83897fd0917016c,550
a58988acce2d093a7c0af118307b671aa25cde702fbd5ed6cef306852bd58058,-1
975e3d982b5c5f2a40030c1716c9f27507dcdd2d32d3d5f4f8b11c975ff91710,-1
c959668f9df252106d1a576502a9e0fea3ce57fe65ad717c79c33d5e29597d6e,-1
b55d1e17f26046424238ae1bb882ff2a42ccaab27f2635a45cedd70ae04f4004,-1
76ce84332764bdb6cf9c7265c5a8ab8a81fd1d74e2dee36e5511e9048b6f3061,-1
156b0a4411a1c2b2a0a9ec2679c7a92eec742265107138df7a2baec1c290fe2d,124
