,count
0,7881
58,6595
31,6578
3,5910
44,3417
30,3346
5,3233
37,3206
35,3201
66,3199
54,2994
17,2974
46,2896
23,2758
12,2721
24,2330
91,2180
155,2163
1,2157
49,2129
50,1935
22,1838
89,1833
56,1688
57,1580
20,1566
76,1498
97,1497
39,1483
55,1472
177,1440
53,1319
42,1301
60,1258
11,1248
159,1220
36,1140
75,1104
33,1081
19,1035
88,988
7,986
26,983
21,978
14,945
52,943
83,907
48,895
117,817
10,782
106,752
183,737
182,688
108,668
32,635
187,628
120,625
119,606
67,598
113,596
176,591
110,583
93,570
59,567
38,560
79,556
125,555
141,555
135,552
78,533
85,529
137,523
146,503
138,493
174,485
167,482
45,469
143,469
62,468
173,465
152,455
122,453
8,452
154,448
51,445
185,444
87,441
4,438
9,437
121,428
81,427
160,422
158,417
6,405
43,398
77,396
65,392
112,392
130,390
145,383
40,380
153,379
15,370
107,368
132,354
92,351
184,337
118,334
99,331
111,327
74,324
104,315
84,299
134,299
64,277
16,268
147,250
28,246
169,213
72,211
129,204
18,199
140,190
25,173
98,151
95,125
2,122
168,120
27,117
150,113
179,111
180,91
63,90
90,87
162,87
133,87
144,83
116,71
29,70
148,62
172,61
139,60
164,60
136,60
166,59
131,58
188,57
13,55
142,54
128,50
68,50
186,47
114,46
163,45
178,43
165,42
156,41
47,40
41,38
82,38
175,32
61,32
161,30
126,29
101,28
80,27
73,27
96,27
86,26
170,25
181,25
115,25
70,24
71,24
109,23
151,20
100,18
157,17
69,16
189,16
171,15
34,15
123,14
102,13
149,12
103,12
105,12
124,12
94,11
127,11
