,count
-1,70788
481,9418
327,1096
463,957
468,931
472,924
447,843
445,838
446,798
69,736
470,696
163,688
434,684
467,569
254,540
415,526
478,526
160,486
148,473
364,470
386,468
459,412
164,358
195,346
482,343
455,318
68,314
475,297
453,276
196,275
413,271
320,266
8,258
266,254
278,252
77,251
289,247
477,247
436,246
203,241
331,239
237,239
56,231
414,228
252,226
214,224
380,221
245,220
426,217
373,215
367,213
21,209
295,209
378,206
255,206
399,204
296,204
221,204
242,198
230,197
420,195
113,195
157,193
474,193
321,193
208,193
389,191
382,191
288,188
391,186
316,186
449,186
401,184
390,181
205,180
97,180
372,178
335,178
136,177
429,177
396,177
345,177
11,173
52,173
375,173
350,172
34,172
457,171
340,170
302,169
201,169
119,169
427,167
424,166
362,166
356,164
118,163
122,163
471,163
329,161
393,159
246,159
448,158
435,158
89,158
217,157
293,156
290,155
170,155
355,155
131,155
456,154
357,154
347,154
272,151
376,151
325,150
480,149
102,149
368,149
353,149
366,148
104,148
292,147
90,147
51,147
308,147
425,146
99,146
416,144
256,143
361,143
233,142
167,142
343,141
17,141
333,140
268,140
458,140
313,139
96,139
411,139
150,138
348,137
365,137
138,136
418,136
336,135
98,135
369,135
359,135
175,135
124,134
466,133
286,133
309,133
173,132
186,131
318,131
326,131
234,131
305,131
405,130
267,130
258,129
437,128
332,128
287,128
120,128
460,128
346,127
128,127
260,127
180,125
439,125
421,125
469,124
395,124
239,124
57,124
303,124
461,124
264,123
402,122
430,122
381,122
161,121
440,121
262,120
183,120
206,120
166,119
363,119
354,119
422,116
443,116
394,115
299,114
189,114
169,114
91,114
251,113
442,113
351,112
25,112
200,111
178,111
392,111
400,110
360,109
406,109
334,109
63,109
265,109
137,109
218,109
412,108
433,108
294,108
341,108
310,106
151,106
84,105
315,105
146,105
285,104
271,104
125,103
319,103
202,103
464,103
212,103
4,103
250,103
108,102
409,102
431,102
261,102
238,101
423,101
226,101
397,100
207,100
152,100
441,99
282,99
134,98
291,98
30,96
247,96
229,95
324,95
112,94
284,94
188,94
100,93
479,93
48,93
314,93
6,92
240,92
432,92
5,92
322,92
273,92
162,92
270,92
141,91
236,91
47,90
323,90
222,90
142,90
36,90
39,89
204,89
103,89
371,88
95,88
244,88
417,88
410,87
219,87
181,87
172,86
274,86
408,86
155,86
16,86
370,86
101,86
73,86
476,85
210,85
304,85
209,85
462,85
379,85
26,84
404,84
121,84
22,83
86,83
55,82
224,82
259,82
452,81
297,81
384,80
144,80
307,80
83,80
374,80
330,79
232,79
281,78
132,77
171,77
263,77
187,77
190,77
165,76
223,76
275,76
29,76
93,75
154,75
114,75
106,75
311,75
438,75
159,75
182,75
194,74
109,74
465,74
192,74
451,73
10,73
191,73
67,73
23,73
76,72
358,72
87,71
64,71
199,71
231,71
107,71
398,70
111,70
2,70
145,69
249,69
339,69
257,69
50,69
227,69
197,69
253,68
235,68
241,68
44,68
337,68
306,67
33,67
184,67
0,67
301,67
403,67
7,67
80,67
13,67
158,67
450,67
179,67
419,67
248,66
383,66
216,66
59,66
81,66
127,66
280,66
407,65
78,65
85,65
377,65
35,65
58,65
45,64
135,64
116,64
74,64
82,64
79,64
147,63
71,63
454,62
317,62
387,62
312,62
20,61
123,61
117,61
1,60
444,60
38,60
277,59
18,59
105,59
213,59
428,59
66,59
276,59
12,58
19,58
139,58
129,58
140,58
15,58
220,58
3,58
32,57
14,57
156,56
42,56
115,56
349,56
342,56
211,55
88,55
215,55
300,55
28,55
473,55
53,54
70,54
225,54
269,53
31,53
185,53
338,53
61,53
43,53
24,53
198,53
328,53
283,53
228,53
149,52
352,52
54,52
94,52
46,52
27,52
60,52
37,52
243,52
130,52
110,52
126,52
40,51
344,51
49,51
75,51
143,51
385,51
41,51
133,51
62,50
279,50
92,50
177,50
176,50
65,50
72,50
153,50
298,50
9,50
388,50
174,50
193,50
168,50
