node,node2vec_cluster
79314f9b901c482761304c779a9b8cd35ad17bce1274802ac0d24c7b0ac72c98,-1
c2255a369917f4d60b09ed09c0b1f68efee398d1d571aecc9cb65608d241d11b,481
cc3fd584e445ebe8eafa77d489f70601e1f5659000979ae17311e94b4b4827e0,6
fda55bd05732e87cdc196bc325a6bdd93ef9f5b70d69c97765ad79eeb152fdf4,-1
c14915a5a781a5f3b747a8ba731c50cf83677f56c4035d8c8175c160cbc39418,-1
5ea9945ff68d69b296c7a944b817afbcc2c4ddc1cd29ea40fbb32bcecc2ad335,-1
9c5bdc06e2f0f0113ff78396b210abe90b999a4bd1e0a7c9a402460d5442d546,-1
d49bcff524a959cc6f7bd7eedc79579ecd371b21b98ead0f9952a2e8323312f6,-1
c71959436d5e4fb172eef8ca82366256bb2de80f83830954d2006ed8c760c90e,-1
a88a7a446a34dadf620aa17f378fb8750c805b5e5b6ce20072464bcdb9e8e7b8,-1
3dde81b8d073b758aded5e77d8da96cb2a8eea8a8dd525dcd2eda058c8c85ac7,281
430d38a5328776318c2fa3fc360e280503464ec0bf3db00bc5c9ee2d38401582,463
0b685f44784e9b1ae06c8016eff1d6f006c27718f4097da25e1b9c671b978e2c,186
28e872412e8564d69093d4a478018b9b146d1299f19affa99efe59db645f4352,481
e7fcc7ed9e7b238899414ae93e8dce6da3c18fa47c3c7a2a3a2ef1468c18883f,-1
0cb1985f31728ede7ea47855068d92f31f46c198192abb07524d64c730ac6610,69
f5e3b0ee8eeb82ec0aa945c38752f5f9ca09fe927dc6acf7c66c21eab7142646,278
593a3fb517a0f867daa723ac5701a3e59bc60a899b1508fa5a3ba03fe31459c3,-1
7117ec34d9c1c72add54af6f5a14a126c181f261cf2bb41e0cc6ef959faa56be,-1
c57a75fca1ec9906b5b24dffa0666ccc582ccbeacba5746ae695a35bfcf5c848,11
b8e0f378d59621070d0c7c98a0ce10b806ede703afa617466defb41d8084a070,371
9d168e5ef52dbf386182b9a16a1429e42f1269737bdc6072c371a63d9e68c539,472
62b2d1d9d9bcff3b56d4a8457243351619057924a6432a33a00aeefaa623887c,460
752a27d986805c1c3f9589b8482bb34f9a64856febc8d16435d66bc89feccfba,469
3e22ac6c2f8f64818bc04101566c7074338d5f1f868492cd5d703f9e229c79de,434
7db207da509e96ab5ec5bd58dc7757fb191afba917ff98b040d371c196b462ba,445
04e72d2a8eede423a79bd09708a334e86c8eeb0ac7c76f01d7d0d854ef3aa63c,-1
fd9f4740bee41183b38214a3a5df8010c83e5f4dedf6b41121f30ab4e38b3073,346
606e040b0e925c4c18ecc3d84f3fd7afe3c89dda53a41582d4af493a5eebd915,-1
5da81761ba86146297cd0fc2d341eaa2f294716371ead3b4daa28f51e52fc612,-1
a14bf7b136eaf1bd26ffff40bb293008c4f66c9e8a95dbad6f18167a9b2c2a4e,470
5f54111e84cc248b10f19709830ca7d9151e001cf455e7ba4ca442c093ac8d4b,82
a640e437c46e04791365fcca89cf618d62496e705c180f08b384467724086a0d,463
b82066e681618e1efda8603c6b866460879f9023bd85c880843a628da3f1ac47,-1
487cce38dbfe57db4219a1dc6a1bb1e58b00b8d92c882a76f4be07ebadfc5f35,447
8bf067bfbbe3c852e0dec8c8e561770343838f8262c6a799aa77e4fb9f74a857,-1
147fae1879c28915958d756e42713c3dff52afde896b9af30717abc342ddfa6c,-1
04b0a38b72bb422b388efe1e22faed7a5b1b5ea19c07acfdf9e619bcbb18f13f,-1
7f8ff26c8e5ab6e6846aecfdd1adc86d1ff18056739175f0d4b6e45212a5d37b,407
66644e80c524df64a6f58c8187cb9440af4768ac64c19421093949016c27b7f9,481
8eeecfff4b8768905cabbed01ac1a033f8a207a536eda64f63f92aa943f0f965,-1
db1ce302ff7b048bac1bf2ee7b0043fe713c2721298fe4ff33521eb3826b87d5,-1
a2ffcbe9f9f573d013c17dba2bdc124fa400c6259fa3d762a4654fd9ae1400fc,478
c013faf92a6b0c5c34636e99333290d4ef673db52edc2200e97e6ef7a8c94e3b,145
cf17ff297519b0023ad3427e369ee75cdefecdf9bebe051bc34fb4db0f35a241,393
f113673ac5d6676bfad5670171a6faef7393ef64787d5a53ceaf47d050c19331,467
1afd10d59cf60a2fd9051db0b72eab37ccb09f91ed5ef95de81d626327545cac,327
d3c2081662b51610915f548f58cdfce7ac8cba232cd7930a829e2608b19d7ce1,-1
bb67ee91001cfaa5154e5cb7d5815425618bb250efd58b1e03a6135b2f28d7f6,-1
b9656096c1f6eddea094852b3405b51cb295c2a0d6128f626bf96669e686befa,-1
4fffe0c51cf308ef82c9310a23f6be16c73025718ef034e17c9819634b08c531,-1
2238556996f017c36f38ea02fd807d9e1518f8afaaddfe9251d1973a2e4a2e85,-1
83ee99dfdc066f741b901cc7f021e09429bfda196c6146b0d9696bcfc1e36085,-1
7fed21804542b12414fc89f2a8c3ddc2a3030482e2333b0b0c774bbdf28ea55c,-1
d9f04794d58c72274bd6f15d83269b0aa3aa2108aa378e1707c25cd3c57ce950,262
83e3e14c8074993159c49cbca16093f87d4b069a5a1a33d3f903b59b05b28951,434
4760290c3f294d768cc2e2add013ea3fd45913ea608da7c84151d1f7729d455d,-1
32f87759345a0480a85a9e9fb2595c75cd574bad205b2e7d79282293d1020dcd,-1
4b50cf59dbad0d6c930ba537e9a9388cf307c31a5d904e7a9647fe1a23fcc2e7,481
3a9340aa84bd26dc2f2a92de5c0fe6d7295b7436ea0399cb250bb33a32570e07,481
d0fa1659034daed3bf5109b160f3463d20411875497a000cc177e8941e630144,464
57a9a0eb8fc679cf993618b426cb038a1dec1e18270b255ba59983de2cd80b9d,-1
7add2d4c4a567a390d6826693e3b96cdaad12899ceaecb28ff5f5fba5b81a8e2,199
2304d1ae0ee6f93bf321309688121ff22a95a0399508576cb4b86717b571b56d,-1
60b2d0c0cac8246f31c5786738a1b005a9a1bfdbdb47d420697703e09323f8cc,475
2345bf674f8ad7df1f303035cde6ce74783eb7494d218da98e16743ea99a56ad,199
13558916ab33fe55243c5dec9f61662be089d1566d20fe3b8917c6e9902d5519,217
52e9ea7aafdf43fd3d215b54c47d29c662fe67af59236a16ac95bb84065ce1f0,-1
e08e0ca3bd3763feab882be800bed5a650b283c95b7a89233a71f5ae97d11233,463
52834a1c6f1d33e4f5942ea43556ebe0c35822d2f27346b76b7b99d5e37595e9,78
9889ccba541a15a384af37ed1a16113a9bb43b5d0fe61a0b867379b5aa122178,282
8c261cd99386eeca56919135929c0f2fc46f875e52be6d3c238ac224c2367495,327
1b3deb86bb00d8e89452deea6bfcd36a5ffa67f97a3acaa5432d54d76a7c0020,343
056b5ab842d0abbffb74de3dc2faf8bb52ecce12f78e24bbcc47b6b159f2cacf,321
b1732c28193fc0e231ebc74208fb44d95af21e6d695eb9e7d78fa5e6c4430b91,481
8c8b96ab4d05575255151b53660711c066bec374ef0caa7ed44723edf392fa54,-1
1d8abc1165aa13f9da2b51673dd3d6b36ccdf500da4cacdc9b308524d29f6164,-1
3ee15b451aa32995b034d9cb1efdc4adbfc52ec927f381c66fbe45c36a75fa4f,467
9f42bf91681f4cde18a245da68c5c21abfca743c46bac0b587b4facc9ecc7a96,108
f59f0bdc71a2a4154c0a37e7fe051c77dc40eafffd6c32986d1688698962af1c,-1
d96c164be2b09863725c9f999ff9847cde328366a78b23444ea2360fab84b97e,156
5334d6c3dce7c7bf632c113b5dfb159b821e2e2ca20b56e22f01d5e2c8640b68,148
29fe13e5089532b5963fdd63cefd51acc55588978e1a0fc643caf2335a51ba58,-1
d7167b46da128c12a35fa007c6e5e5fe7c6b3c5de3acef5d5afee22b3c4999fa,-1
b4b0a32adecdd36c1fa866b1495637189e3edd30be88600c54d695b1b16822f9,-1
5142eb169c7315ce9cbee07f46a2179614698b8675d0fbcba9b620e5a8ea1f7e,481
