,count
35,5426
174,5379
8,5166
30,4650
56,3764
27,3040
14,2909
0,2833
13,2783
10,2573
51,2360
22,2299
5,2100
69,2084
49,1862
31,1674
47,1643
64,1616
42,1497
40,1463
91,1460
21,1396
11,1341
100,1339
61,1274
26,1190
78,1131
28,1113
45,1046
93,1026
4,1012
178,1006
67,956
104,911
7,909
17,886
73,867
95,834
82,807
12,801
97,779
145,776
38,760
34,734
65,729
39,715
158,677
123,653
70,650
37,647
2,638
76,634
85,625
105,624
89,604
128,594
165,594
54,592
66,569
83,559
46,552
164,550
129,533
36,529
141,529
185,529
44,518
106,514
162,510
3,503
79,497
87,495
108,491
20,490
88,489
152,488
142,485
99,474
135,471
183,471
188,469
24,466
117,464
155,455
144,445
71,444
81,444
84,441
80,441
52,439
191,439
58,432
1,427
156,427
157,426
180,419
159,419
124,419
62,416
59,412
25,409
55,409
161,407
102,404
187,401
92,397
171,396
139,368
134,365
179,364
43,361
146,361
137,358
29,357
48,351
72,349
114,346
86,345
184,345
116,328
98,324
101,319
160,318
121,316
163,311
133,290
169,289
125,288
115,272
68,272
60,269
6,268
74,267
186,253
103,252
131,247
130,246
138,235
150,231
90,211
168,184
147,178
126,175
50,173
96,149
177,134
41,121
140,120
16,111
154,103
143,93
176,85
15,78
94,73
181,65
19,64
182,62
32,62
132,60
23,58
75,53
190,46
172,44
77,43
127,39
175,37
189,36
192,35
173,33
136,33
107,31
109,30
170,27
9,27
18,27
151,25
53,24
113,23
111,22
119,21
149,21
63,19
148,17
167,17
57,16
166,16
110,16
122,15
153,14
120,14
118,13
33,12
112,12
