,count
-1,62217
449,6818
281,977
318,904
365,675
429,566
52,510
210,485
105,430
280,420
35,406
289,402
344,388
349,376
434,351
242,330
101,329
374,319
351,314
428,311
311,310
437,305
385,294
451,292
369,283
91,280
445,279
433,278
313,273
188,272
244,268
303,263
132,252
126,250
443,243
439,242
17,239
382,237
420,237
213,235
383,234
232,232
352,231
417,231
38,230
409,229
384,224
90,223
327,220
50,220
363,218
399,218
431,217
341,217
104,217
95,215
293,213
441,210
444,208
388,208
198,207
150,207
371,207
245,200
291,194
34,191
143,190
452,189
301,189
216,189
283,188
239,187
248,186
107,186
186,185
300,185
139,182
161,182
27,178
128,176
358,176
394,176
302,173
202,172
436,171
362,171
425,170
148,170
154,168
261,168
113,167
193,167
87,166
184,165
171,164
340,162
199,162
336,160
350,159
194,159
356,159
446,158
273,158
297,157
424,156
135,156
380,154
414,154
249,153
448,152
400,152
354,152
308,149
81,149
430,148
377,148
276,148
272,146
246,146
155,145
366,145
334,144
74,144
305,143
337,142
370,142
438,142
296,142
315,142
173,142
45,141
421,140
347,140
223,140
412,140
67,139
406,139
328,138
447,138
263,138
134,137
282,136
221,136
403,135
164,135
225,134
190,134
231,133
435,133
177,132
314,132
361,131
324,131
326,131
75,131
53,130
393,130
298,130
130,130
274,130
398,130
389,129
391,129
138,128
339,128
116,128
144,128
270,127
40,127
306,127
122,126
169,126
390,124
295,124
174,124
69,123
378,122
159,120
215,119
402,119
332,119
405,119
240,118
287,117
360,117
172,117
415,117
2,116
376,115
346,115
185,115
373,115
413,115
48,114
131,114
228,113
206,113
142,112
233,112
106,112
94,111
253,111
418,111
1,111
392,111
359,110
200,110
21,110
275,110
423,109
265,109
11,108
47,108
266,107
375,107
325,106
208,105
407,105
404,105
411,104
181,104
381,104
432,103
136,103
255,103
20,102
72,101
353,101
294,101
256,100
120,100
258,100
278,100
146,99
367,99
13,99
115,99
54,99
63,98
68,98
56,98
330,98
372,98
279,97
316,96
343,96
235,95
39,94
269,94
149,94
70,94
319,94
163,93
426,93
112,93
31,91
277,91
14,91
111,91
96,90
410,89
309,89
285,88
264,88
260,88
12,88
180,87
125,87
320,86
18,83
175,82
145,82
103,81
401,81
167,81
117,81
92,81
166,81
304,81
73,80
222,80
79,80
110,79
160,79
236,79
32,79
207,79
250,79
237,78
201,78
124,78
284,78
165,77
267,77
153,77
219,76
416,76
408,76
214,76
195,75
71,75
15,75
8,75
251,75
357,75
157,75
37,75
43,75
85,75
133,74
211,74
189,74
355,74
254,73
379,73
114,73
76,73
427,72
179,72
224,71
59,71
247,71
77,71
19,71
229,70
65,70
290,70
86,70
152,69
187,69
317,69
238,69
395,69
218,68
137,68
310,68
88,68
99,67
288,67
203,67
108,67
268,66
10,66
209,66
257,65
234,65
307,65
217,65
60,65
162,65
51,65
176,64
321,64
241,64
62,64
386,64
141,63
419,63
183,63
396,63
4,63
80,63
89,63
44,63
82,63
335,63
33,62
387,62
78,62
450,61
243,61
24,61
312,60
9,59
140,59
102,59
16,59
204,59
286,59
127,59
191,59
109,58
129,58
3,58
342,57
5,57
123,57
364,57
61,56
220,56
323,56
440,56
259,56
6,56
271,56
22,56
118,56
345,55
119,55
55,55
42,55
226,55
41,55
156,54
227,54
66,54
168,54
7,54
36,54
64,54
212,54
83,53
338,53
252,53
158,53
178,53
196,52
93,52
333,52
422,52
49,52
28,52
368,52
58,52
57,52
170,52
205,52
26,52
442,51
30,51
100,51
84,51
230,51
331,51
0,51
397,51
262,51
192,51
23,51
97,51
151,50
121,50
348,50
46,50
322,50
182,50
147,50
25,50
292,50
29,50
329,50
197,50
98,50
299,50
