,count
8,4898
74,4764
14,4718
29,4466
12,3580
16,3463
59,3423
42,3392
5,3203
45,2942
25,2504
11,2370
106,2332
52,2182
35,1943
97,1632
91,1576
1,1552
87,1458
32,1431
62,1414
17,1378
15,1229
10,1215
77,1194
34,1155
55,1136
49,1132
78,1073
0,1069
72,1044
85,1038
9,958
38,952
73,939
23,901
39,866
104,859
184,725
107,720
164,701
58,695
4,693
68,680
96,668
44,664
54,663
155,657
50,621
61,620
111,617
93,616
125,616
3,609
142,603
22,598
56,588
40,562
33,560
100,556
36,555
121,542
114,536
79,529
43,520
102,517
20,515
157,502
105,501
37,490
51,482
109,477
98,465
13,464
159,461
48,447
148,431
127,420
150,418
28,399
82,398
69,392
101,389
19,386
135,378
41,370
124,364
2,357
71,352
95,348
185,345
103,344
31,343
173,342
70,341
158,336
89,335
18,332
30,312
46,312
149,302
122,297
170,297
134,296
131,286
57,285
24,284
138,283
64,281
141,271
112,267
65,265
67,263
83,253
161,248
128,247
116,238
140,235
76,233
118,221
151,215
21,198
120,189
133,177
92,169
139,164
176,161
177,140
126,133
132,129
152,126
162,124
129,121
180,118
146,108
143,102
171,102
53,87
119,84
7,81
6,78
165,76
117,75
84,73
145,72
166,66
86,63
115,61
167,60
179,59
181,57
136,56
147,51
172,50
174,49
156,48
182,39
183,38
169,38
163,34
80,33
99,33
113,32
154,32
81,31
153,30
60,29
175,28
66,28
90,28
94,28
160,26
178,25
144,25
108,25
123,19
26,19
110,19
63,18
75,18
137,16
130,16
27,16
168,15
47,15
88,15
