,count
-1,58473
394,6402
382,807
391,633
312,626
251,618
376,579
222,449
103,446
174,428
327,374
239,372
328,365
265,362
281,352
290,347
336,346
229,345
364,343
264,338
348,337
219,337
232,335
354,329
36,327
246,326
331,323
310,322
323,320
54,316
198,312
303,311
388,302
285,301
300,301
329,299
315,295
299,289
360,288
175,284
377,284
340,284
341,283
387,271
218,269
337,266
275,263
250,261
287,261
353,257
352,256
379,251
368,248
204,246
169,242
386,238
351,231
356,228
305,228
140,227
213,224
367,224
357,224
389,223
142,221
207,218
395,218
326,217
249,215
362,215
268,211
33,208
173,206
69,202
197,202
304,201
247,200
289,200
296,199
146,198
380,194
19,190
267,189
269,187
122,181
339,180
385,178
224,171
231,171
392,170
374,170
332,167
182,167
129,166
347,165
266,163
369,163
243,162
372,161
307,160
228,159
298,158
184,156
262,155
144,154
179,152
361,152
308,151
270,149
383,149
272,148
313,147
44,146
47,146
145,145
136,144
3,143
193,143
375,140
188,140
167,138
317,138
238,137
88,137
131,137
186,135
141,134
301,134
252,134
334,132
79,132
68,131
132,131
211,129
50,129
150,129
322,128
288,127
230,126
183,126
297,125
220,125
148,124
201,124
359,123
345,123
152,122
10,122
180,122
253,120
306,120
371,120
135,119
1,118
133,118
242,117
342,117
90,117
273,116
241,116
107,115
261,115
295,114
244,113
181,113
91,113
35,112
99,112
214,111
20,111
130,111
217,111
149,110
205,110
138,108
82,108
164,107
223,107
277,106
255,106
143,106
276,105
40,104
248,104
260,104
384,103
324,103
212,102
177,102
95,101
53,101
216,101
104,101
225,101
279,100
302,100
128,99
117,99
343,99
283,98
335,98
156,98
9,98
210,97
12,97
92,96
373,96
245,96
109,95
234,95
5,95
157,95
31,94
38,94
29,94
48,94
396,94
370,93
67,93
293,91
346,91
378,91
4,91
94,90
162,90
209,89
102,88
286,88
358,88
62,88
15,87
134,86
208,86
206,85
254,85
158,85
166,85
318,85
93,84
119,84
151,84
118,84
226,83
280,83
330,83
159,83
23,82
196,82
202,81
274,81
163,81
57,80
178,79
123,79
97,78
126,78
85,78
189,77
257,77
338,77
282,76
7,76
52,76
235,76
89,75
127,74
2,73
294,72
26,72
71,72
325,72
192,72
350,71
355,71
63,71
185,71
78,71
349,70
96,70
319,70
321,70
203,69
292,69
113,69
74,68
30,68
168,67
86,67
199,67
256,67
28,67
172,67
278,67
106,67
120,67
221,67
390,66
160,66
137,66
116,65
153,65
105,65
81,65
27,65
49,65
64,65
271,65
200,65
215,64
98,64
43,64
171,64
76,64
227,63
147,63
139,63
51,63
291,63
25,63
165,63
114,63
240,62
187,62
320,62
75,62
70,62
237,61
316,61
55,61
41,61
393,61
314,61
84,61
37,60
8,60
61,60
18,60
284,60
0,59
190,59
115,59
6,58
66,58
110,58
59,58
154,58
111,58
176,57
363,57
121,57
258,57
16,57
11,57
13,57
45,57
161,57
381,56
170,56
344,56
124,56
108,56
125,55
155,55
83,55
77,55
73,55
233,54
17,54
112,54
195,54
194,53
259,53
46,53
87,53
32,53
366,53
58,53
100,53
309,53
191,52
80,52
65,52
22,52
101,52
72,52
311,52
263,51
14,51
34,51
236,51
42,51
24,51
21,50
39,50
60,50
333,50
56,50
365,50
